PC, IR, OPCODE, RA, RB, RD, W_Reg, Cout, OF
00, 1000,1, 0, 0, 0, 00, 0, 0
01, 1011,1, 0, 1, 1, 00, 0, 0
02, 1002,1, 0, 0, 2, 01, 0, 0
03, 10a3,1, 0, a, 3, 00, 0, 0
04, d236,d, 2, 3, 6, 0a, 0, 0
05, 2014,2, 0, 1, 4, 0a, 0, 0
06, 4100,4, 1, 0, 0, 01, 0, 0
07, 4401,4, 4, 0, 1, 01, 0, 0
08, 8022,8, 0, 2, 2, 01, 0, 0
09, e040,e, 0, 4, 0, 01, 0, 0
04, d236,d, 2, 3, 6, 04, 0, 0
05, 2014,2, 0, 1, 4, 04, 0, 0
06, 4100,4, 1, 0, 0, 02, 0, 0
07, 4401,4, 4, 0, 1, 01, 0, 0
08, 8022,8, 0, 2, 2, 02, 0, 0
09, e040,e, 0, 4, 0, 02, 0, 0
04, d236,d, 2, 3, 6, 04, 0, 0
05, 2014,2, 0, 1, 4, 04, 0, 0
06, 4100,4, 1, 0, 0, 03, 0, 0
07, 4401,4, 4, 0, 1, 02, 0, 0
08, 8022,8, 0, 2, 2, 03, 0, 0
09, e040,e, 0, 4, 0, 03, 0, 0
04, d236,d, 2, 3, 6, 04, 0, 0
05, 2014,2, 0, 1, 4, 04, 0, 0
06, 4100,4, 1, 0, 0, 05, 0, 0
07, 4401,4, 4, 0, 1, 03, 0, 0
08, 8022,8, 0, 2, 2, 05, 0, 0
09, e040,e, 0, 4, 0, 04, 0, 0
04, d236,d, 2, 3, 6, 04, 0, 0
05, 2014,2, 0, 1, 4, 04, 0, 0
06, 4100,4, 1, 0, 0, 08, 0, 0
07, 4401,4, 4, 0, 1, 05, 0, 0
08, 8022,8, 0, 2, 2, 08, 0, 0
09, e040,e, 0, 4, 0, 05, 0, 0
04, d236,d, 2, 3, 6, 04, 0, 0
05, 2014,2, 0, 1, 4, 04, 0, 0
06, 4100,4, 1, 0, 0, 0d, 0, 0
07, 4401,4, 4, 0, 1, 08, 0, 0
08, 8022,8, 0, 2, 2, 0d, 0, 0
09, e040,e, 0, 4, 0, 06, 0, 0
04, d236,d, 2, 3, 6, 04, 0, 0
05, 2014,2, 0, 1, 4, 04, 0, 0
06, 4100,4, 1, 0, 0, 15, 0, 0
07, 4401,4, 4, 0, 1, 0d, 0, 0
08, 8022,8, 0, 2, 2, 15, 0, 0
09, e040,e, 0, 4, 0, 07, 0, 0
04, d236,d, 2, 3, 6, 04, 0, 0
05, 2014,2, 0, 1, 4, 04, 0, 0
06, 4100,4, 1, 0, 0, 22, 0, 0
07, 4401,4, 4, 0, 1, 15, 0, 0
08, 8022,8, 0, 2, 2, 22, 0, 0
09, e040,e, 0, 4, 0, 08, 0, 0
04, d236,d, 2, 3, 6, 04, 0, 0
05, 2014,2, 0, 1, 4, 04, 0, 0
06, 4100,4, 1, 0, 0, 37, 0, 0
07, 4401,4, 4, 0, 1, 22, 0, 0
08, 8022,8, 0, 2, 2, 37, 0, 0
09, e040,e, 0, 4, 0, 09, 0, 0
04, d236,d, 2, 3, 6, 04, 0, 0
05, 2014,2, 0, 1, 4, 04, 0, 0
06, 4100,4, 1, 0, 0, 59, 0, 0
07, 4401,4, 4, 0, 1, 37, 0, 0
08, 8022,8, 0, 2, 2, 59, 0, 0
09, e040,e, 0, 4, 0, 0a, 0, 0
04, d236,d, 2, 3, 6, 04, 0, 0
0a, 4405,4, 4, 0, 5, 04, 0, 0
0b, 6536,6, 5, 3, 6, 59, 0, 0
0c, 5637,5, 6, 3, 7, 08, 0, 0
0d, 3538,3, 5, 3, 8, 50, 1, 0
0e, 4329,4, 3, 2, 9, 4f, 0, 0
0f, 709a,7, 0, 9, a, 0c, 0, 0
10, 70ab,7, 0, a, b, 0b, 0, 0
11, bb8c,b, b, 8, c, 0a, 0, 0
12, 9c1d,9, c, 1, d, 45, 0, 0
13, c0df,c, 0, d, f, a2, 0, 0
14, f000,f, 0, 0, 0, 5d, 0, 0
